,ratings,predictions,ink
478,[0.36318838596343994],[0.5126953125],[9932.2939453125]
479,[0.23495109379291534],[0.337890625],[8229.046875]
480,[0.6953124403953552],[0.60791015625],[12037.0703125]
481,[0.5936327576637268],[0.6162109375],[18367.283203125]
482,[0.5234874486923218],[0.66455078125],[13450.705078125]
483,[0.47935763001441956],[0.64599609375],[13919.294921875]
484,[0.3909514248371124],[0.66845703125],[14061.517578125]
485,[0.6000012755393982],[0.5361328125],[12774.91796875]
486,[0.44341766834259033],[0.417236328125],[11407.05859375]
487,[0.14428021013736725],[0.366943359375],[4442.623046875]
488,[0.34093475341796875],[0.552734375],[15068.423828125]
489,[0.24607151746749878],[0.3486328125],[5761.2587890625]
490,[0.14428021013736725],[0.365234375],[8445.140625]
491,[0.22968704998493195],[0.261962890625],[3627.60009765625]
492,[0.3316366672515869],[0.432373046875],[4770.88232421875]
493,[0.14428021013736725],[0.367431640625],[6502.71728515625]
494,[0.24607151746749878],[0.45703125],[12502.1171875]
495,[0.5703186988830566],[0.53759765625],[6632.2001953125]
496,[0.6513060927391052],[0.60888671875],[17046.470703125]
497,[0.42418986558914185],[0.5244140625],[7041.2119140625]
498,[0.484912633895874],[0.48583984375],[7202.65869140625]
499,[0.6695458292961121],[0.5732421875],[12779.505859375]
500,[0.4125787019729614],[0.59765625],[13402.2939453125]
501,[0.2883540391921997],[0.6220703125],[8559.6123046875]
502,[0.5379431843757629],[0.6591796875],[12666.2470703125]
503,[0.5569074749946594],[0.630859375],[19370.154296875]
504,[0.33221668004989624],[0.5537109375],[10768.1298828125]
505,[0.5312932729721069],[0.5791015625],[11296.1533203125]
506,[0.5023563504219055],[0.52197265625],[8939.3876953125]
507,[0.19115959107875824],[0.361328125],[12541.6591796875]
508,[0.6527121663093567],[0.6025390625],[9136.646484375]
509,[0.665894627571106],[0.4658203125],[9679.8818359375]
510,[0.14428021013736725],[0.52685546875],[11527.482421875]
511,[0.24607151746749878],[0.490234375],[8478.2001953125]
512,[0.4924585819244385],[0.63427734375],[19984.49609375]
513,[0.36971911787986755],[0.55419921875],[8756.7060546875]
514,[0.7787808179855347],[0.4716796875],[9568.1640625]
515,[0.5496377348899841],[0.53125],[9407.3759765625]
516,[0.19115959107875824],[0.34423828125],[4491.7294921875]
517,[0.49749305844306946],[0.56591796875],[11684.634765625]
518,[0.35474175214767456],[0.4482421875],[7018.64697265625]
519,[0.5221434235572815],[0.5654296875],[10037.505859375]
520,[0.6292703747749329],[0.59326171875],[7112.81201171875]
521,[0.674219012260437],[0.60791015625],[14043.6826171875]
522,[0.467292457818985],[0.64599609375],[17728.529296875]
523,[0.42418986558914185],[0.58935546875],[15142.17578125]
524,[0.5413625836372375],[0.58740234375],[8161.01171875]
525,[0.33221668004989624],[0.65966796875],[15622.306640625]
526,[0.07153326272964478],[0.272705078125],[5269.97607421875]
527,[0.6758362650871277],[0.67626953125],[19907.80078125]
528,[0.6113658547401428],[0.5654296875],[6322.36474609375]
529,[0.5597283840179443],[0.54931640625],[11086.7763671875]
530,[0.5737714171409607],[0.443603515625],[5316.2119140625]
531,[0.5011903643608093],[0.5146484375],[9453.494140625]
532,[0.4020068943500519],[0.51171875],[9389.8115234375]
533,[0.6906875967979431],[0.6533203125],[13023.447265625]
534,[0.14428021013736725],[0.38720703125],[7952.7646484375]
535,[0.2695316672325134],[0.472412109375],[11521.2578125]
536,[0.7280872464179993],[0.63671875],[22239.66015625]
537,[0.48210781812667847],[0.75146484375],[22945.751953125]
538,[0.44341766834259033],[0.49560546875],[6331.29443359375]
539,[0.24607151746749878],[0.4833984375],[8159.046875]
540,[0.4014991819858551],[0.58154296875],[14316.294921875]
541,[0.647452712059021],[0.6787109375],[19476.482421875]
542,[0.24607151746749878],[0.49658203125],[10784.646484375]
543,[0.40480121970176697],[0.54248046875],[16889.658203125]
544,[0.33221668004989624],[0.41015625],[10469.7890625]
545,[0.40819165110588074],[0.50341796875],[9091.3173828125]
546,[0.20337505638599396],[0.379638671875],[4503.0703125]
547,[0.674219012260437],[0.349853515625],[4729.78857421875]
548,[0.6338484287261963],[0.472412109375],[6375.5419921875]
549,[0.3496943414211273],[0.31689453125],[8895.6357421875]
550,[0.30245456099510193],[0.4482421875],[6240.05859375]
551,[0.24461770057678223],[0.3427734375],[9980.5888671875]
552,[0.3609278202056885],[0.5146484375],[7803.447265625]
553,[0.2942277193069458],[0.48046875],[9259.294921875]
554,[0.24461770057678223],[0.43115234375],[10223.73046875]
555,[0.19370532035827637],[0.39892578125],[6416.7529296875]
556,[0.4578196406364441],[0.441650390625],[6821.89404296875]
557,[0.3997534215450287],[0.525390625],[9006.576171875]
558,[0.41065147519111633],[0.369384765625],[5455.3408203125]
559,[0.5881350040435791],[0.5849609375],[7363.1298828125]
560,[0.5910171270370483],[0.474365234375],[6851.47021484375]
561,[0.5976083874702454],[0.47021484375],[8026.30615234375]
562,[0.30946359038352966],[0.489013671875],[6972.953125]
563,[0.2731890082359314],[0.59326171875],[9907.646484375]
564,[0.5948388576507568],[0.6025390625],[9806.05859375]
565,[0.5776439905166626],[0.54736328125],[6825.6474609375]
566,[0.28510552644729614],[0.362548828125],[4597.91748046875]
567,[0.4014991819858551],[0.484619140625],[6128.552734375]
568,[0.3249858617782593],[0.4892578125],[7245.58837890625]
569,[0.2609506845474243],[0.279052734375],[3448.57666015625]
570,[0.22041583061218262],[0.08740234375],[4855.6826171875]
571,[0.17245222628116608],[0.21728515625],[3966.7294921875]
572,[0.0],[0.2318115234375],[5449.1884765625]
573,[0.17659075558185577],[0.2763671875],[3653.105712890625]
574,[0.11235953122377396],[0.25927734375],[3503.611572265625]
575,[0.14247694611549377],[0.299072265625],[4421.447265625]
576,[0.14428021013736725],[0.2352294921875],[3481.94091796875]
577,[0.4221057593822479],[0.475830078125],[5089.365234375]
578,[0.4014991819858551],[0.424560546875],[4816.17626953125]
579,[0.1988126039505005],[0.347900390625],[6502.57666015625]
580,[0.39894869923591614],[0.385009765625],[5872.85888671875]
581,[0.4371638000011444],[0.564453125],[8469.3173828125]
582,[0.7187954783439636],[0.58154296875],[12487.6591796875]
583,[0.5800898671150208],[0.58203125],[8760.9765625]
584,[0.5518709421157837],[0.57861328125],[7085.7412109375]
585,[0.4793437719345093],[0.44873046875],[4400.0234375]
586,[0.1988126039505005],[0.380615234375],[8868.2705078125]
587,[0.4371638000011444],[0.466796875],[5469.2236328125]
588,[0.6792712211608887],[0.452880859375],[6118.84716796875]
589,[0.33221668004989624],[0.435791015625],[6624.140625]
590,[0.23705890774726868],[0.330810546875],[4841.529296875]
591,[0.11235953122377396],[0.1756591796875],[3123.564697265625]
592,[0.11235953122377396],[0.23193359375],[3686.753173828125]
593,[0.14428021013736725],[0.349365234375],[5896.1171875]
594,[0.11235953122377396],[0.205078125],[3714.2353515625]
595,[0.0],[0.218017578125],[3581.63525390625]
596,[0.1988126039505005],[0.317138671875],[4655.2470703125]
597,[0.3137854039669037],[0.47998046875],[8529.494140625]
598,[0.3400936722755432],[0.269775390625],[4805.2353515625]
599,[0.2453332394361496],[0.36328125],[5443.11767578125]
600,[0.10578709840774536],[0.344482421875],[5699.5771484375]
601,[0.2453332394361496],[0.477294921875],[7006.91796875]
602,[0.39228555560112],[0.50732421875],[4841.0234375]
603,[0.467292457818985],[0.498779296875],[6299.77685546875]
604,[0.6774697303771973],[0.67578125],[9552.3291015625]
605,[0.5381110310554504],[0.53662109375],[9936.7294921875]
606,[0.8744950294494629],[0.7041015625],[17375.08203125]
607,[0.1988126039505005],[0.355224609375],[6928.9296875]
608,[0.49714741110801697],[0.59033203125],[11644.0]
609,[0.2942277193069458],[0.405517578125],[9224.1416015625]
610,[0.6463744044303894],[0.62109375],[9455.318359375]
611,[0.5225391983985901],[0.495361328125],[7676.8828125]
612,[0.28510552644729614],[0.4775390625],[8128.27099609375]
613,[0.4279380142688751],[0.4189453125],[4730.505859375]
614,[0.28510552644729614],[0.372802734375],[5925.541015625]
615,[0.31043577194213867],[0.64501953125],[14115.353515625]
616,[0.4371638000011444],[0.424072265625],[6441.41162109375]
617,[0.4371638000011444],[0.46728515625],[8668.98828125]
618,[0.14428021013736725],[0.31689453125],[4990.65869140625]
619,[0.2942277193069458],[0.41845703125],[4872.88232421875]
620,[0.41065147519111633],[0.389404296875],[4540.6826171875]
621,[0.3338259756565094],[0.372314453125],[7374.623046875]
622,[0.4054616689682007],[0.486328125],[6878.3876953125]
623,[0.4858551621437073],[0.5087890625],[4789.2705078125]
624,[0.39390385150909424],[0.455078125],[5560.953125]
625,[0.14428021013736725],[0.2098388671875],[6192.6708984375]
626,[0.14247694611549377],[0.1116943359375],[4337.7763671875]
627,[0.14428021013736725],[0.35595703125],[10171.90625]
628,[0.3316366672515869],[0.27587890625],[4271.1767578125]
629,[0.28510552644729614],[0.425048828125],[6231.482421875]
630,[0.20337505638599396],[0.3896484375],[6097.3173828125]
631,[0.2586359679698944],[0.35888671875],[4270.8349609375]
632,[0.5527496933937073],[0.499755859375],[7505.7529296875]
633,[0.31251293420791626],[0.297607421875],[5405.3525390625]
634,[0.5376543998718262],[0.495849609375],[7662.552734375]
635,[0.07153326272964478],[0.31982421875],[6491.43505859375]
636,[0.684434711933136],[0.36279296875],[6158.494140625]
637,[0.6338484287261963],[0.60498046875],[11036.376953125]
638,[0.1988126039505005],[0.36474609375],[5492.4228515625]
639,[0.618838369846344],[0.346923828125],[6319.15283203125]
640,[0.28510552644729614],[0.384521484375],[8262.2470703125]
641,[0.42418986558914185],[0.3642578125],[9608.529296875]
642,[0.1988126039505005],[0.294677734375],[6177.953125]
643,[0.408466637134552],[0.60009765625],[6465.34130859375]
644,[0.3249858617782593],[0.50244140625],[6801.88232421875]
645,[0.3249858617782593],[0.402587890625],[7349.81201171875]
646,[0.2695316672325134],[0.414306640625],[5224.529296875]
647,[0.4014991819858551],[0.31689453125],[5136.7529296875]
648,[0.5518709421157837],[0.5771484375],[9994.6708984375]
649,[0.1988126039505005],[0.3515625],[7638.564453125]
650,[0.2453332394361496],[0.398681640625],[7075.2236328125]
651,[0.11235953122377396],[0.29833984375],[5306.400390625]
652,[0.5027461647987366],[0.53125],[7026.30615234375]
653,[0.10066942125558853],[0.223388671875],[3415.37646484375]
654,[0.5587483048439026],[0.476318359375],[5502.8935546875]
655,[0.2586359679698944],[0.310546875],[3591.352783203125]
656,[0.28301599621772766],[0.318359375],[4611.7529296875]
657,[0.20337505638599396],[0.40380859375],[4089.587890625]
658,[0.24607151746749878],[0.560546875],[5213.18896484375]
659,[0.2695316672325134],[0.40771484375],[5615.07080078125]
660,[0.5910171270370483],[0.583984375],[6102.52978515625]
661,[0.33449944853782654],[0.3154296875],[4233.3525390625]
662,[0.7187954783439636],[0.568359375],[6232.482421875]
663,[0.28510552644729614],[0.45361328125],[5537.2353515625]
664,[0.7187954783439636],[0.5908203125],[13485.75390625]
665,[0.49749305844306946],[0.53955078125],[9731.10546875]
666,[0.4792858064174652],[0.52587890625],[13017.658203125]
667,[0.5703186988830566],[0.375],[5653.6708984375]
668,[0.3249858617782593],[0.425537109375],[10051.2822265625]
669,[0.5425199866294861],[0.5283203125],[7557.517578125]
670,[0.28510552644729614],[0.53955078125],[7303.6943359375]
671,[0.4371638000011444],[0.417724609375],[6736.3408203125]
672,[0.6292703747749329],[0.44775390625],[8809.505859375]
673,[0.44341766834259033],[0.5517578125],[15259.6826171875]
674,[0.4591066241264343],[0.392822265625],[7229.140625]
675,[0.5800898671150208],[0.495361328125],[7414.22412109375]
676,[0.7126721143722534],[0.60888671875],[13263.7294921875]
677,[0.3418301045894623],[0.385498046875],[6448.98828125]
678,[0.33221668004989624],[0.382080078125],[9011.046875]
679,[0.4948601722717285],[0.51708984375],[9466.2705078125]
680,[0.33221668004989624],[0.44677734375],[6552.24658203125]
681,[0.5066375136375427],[0.54541015625],[7077.8818359375]
682,[0.7042399644851685],[0.55859375],[6733.03515625]
683,[0.14672613143920898],[0.3330078125],[5655.7294921875]
684,[0.28510552644729614],[0.458740234375],[6182.43505859375]
685,[0.23495109379291534],[0.401611328125],[7843.1884765625]
686,[0.3536913990974426],[0.453857421875],[6518.2939453125]
687,[0.5518709421157837],[0.59326171875],[9858.576171875]
688,[0.3085821568965912],[0.37841796875],[6884.552734375]
689,[0.2453332394361496],[0.33544921875],[8272.09375]
690,[0.6845940351486206],[0.5302734375],[7271.45849609375]
691,[0.3096623122692108],[0.46533203125],[7307.89404296875]
692,[0.5354973077774048],[0.587890625],[9096.400390625]
693,[0.5518709421157837],[0.5107421875],[8745.8115234375]
694,[0.1988126039505005],[0.3193359375],[8651.0703125]
695,[0.38440701365470886],[0.4345703125],[4934.94140625]
696,[0.4712314009666443],[0.53125],[5404.6474609375]
697,[0.2453332394361496],[0.3193359375],[7219.8818359375]
698,[0.11235953122377396],[0.326416015625],[5471.494140625]
699,[0.4221057593822479],[0.5087890625],[6563.552734375]
700,[0.5776439905166626],[0.513671875],[8394.552734375]
701,[0.4221057593822479],[0.4951171875],[17258.8828125]
702,[0.4441589415073395],[0.63330078125],[14528.447265625]
703,[0.7187954783439636],[0.6630859375],[14699.7294921875]
704,[0.4674678146839142],[0.58935546875],[37644.09375]
705,[0.6151904463768005],[0.5458984375],[10436.3525390625]
706,[0.776386022567749],[0.6220703125],[19069.763671875]
707,[0.5753198862075806],[0.62890625],[8255.05859375]
708,[0.300322026014328],[0.385009765625],[8043.8935546875]
709,[0.36971911787986755],[0.49755859375],[10418.6474609375]
710,[0.612684965133667],[0.4140625],[6992.82421875]
711,[0.1823652684688568],[0.43798828125],[7403.365234375]
712,[0.28510552644729614],[0.499755859375],[7328.42333984375]
713,[0.49066784977912903],[0.51220703125],[8025.0703125]
714,[0.4859345257282257],[0.43359375],[5977.63525390625]
715,[0.784235417842865],[0.67919921875],[16170.541015625]
716,[0.6953124403953552],[0.556640625],[8601.7646484375]
717,[0.28510552644729614],[0.39453125],[11735.89453125]
718,[0.24461770057678223],[0.62939453125],[12646.611328125]
719,[0.5489212870597839],[0.4921875],[7914.1181640625]
720,[0.31420063972473145],[0.3935546875],[8341.2353515625]
721,[0.5496377348899841],[0.5615234375],[9444.634765625]
